DailyStoreStaff.id,date,store,legacy Staff.id,DailyEntry status,proposed Employee.id,evidence map reference,promotion classification
dss-5c785546-4620-482e-ab0b-fc267afbd83a,2026-08-14,guanshe,st-guanshe-tqjk7n,confirmed,emp-53f97563-478f-423c-b269-87bdcaa39f1b,M08,PROMOTABLE_HIGH_CONFIDENCE
dss-8ba321de-42e6-4749-b645-29d924d80604,2026-08-14,tongying,st-tongying-kemu72mhh,confirmed,emp-83535521-87b8-4def-b171-16ede79eefe6,M04,PROMOTABLE_HIGH_CONFIDENCE
dss-c884efd0-6768-41dd-9e37-3596300f5b73,2026-08-14,tongying,st-tongying-gl2ptjsds,confirmed,emp-6ec93d71-6147-4e50-a5d0-0cf36fac95db,M02,PROMOTABLE_HIGH_CONFIDENCE
dss-e0682e31-aa3c-41e5-bade-fffac5029620,2026-08-14,xidan,st-xidan-took1zj8n,draft,emp-73978c49-e12c-4f4f-9ca3-0a15f2de1977,M07,PROMOTABLE_HIGH_CONFIDENCE
dss-60ed5e5c-1b3f-4d19-8195-93af14dfebcc,2026-08-15,chaowai,st-chaowai-poyk0f,confirmed,emp-8c4ba159-0fcb-474d-bb3c-ecd21928e2a8,M06,PROMOTABLE_HIGH_CONFIDENCE
dss-c96fa5a7-99a6-4920-b5fe-684a3e8f0b0b,2026-08-15,guanshe,st-guanshe-tqjk7n,confirmed,emp-53f97563-478f-423c-b269-87bdcaa39f1b,M08,PROMOTABLE_HIGH_CONFIDENCE
dss-64f09bb5-90e6-44f0-ace1-281dee3d37bf,2026-08-15,tongying,st-tongying-gl2ptjsds,confirmed,emp-6ec93d71-6147-4e50-a5d0-0cf36fac95db,M02,PROMOTABLE_HIGH_CONFIDENCE
dss-8f0ec8aa-8ab8-4b5c-9259-24932ebaf95b,2026-08-15,tongying,st-tongying-kemu72mhh,confirmed,emp-83535521-87b8-4def-b171-16ede79eefe6,M04,PROMOTABLE_HIGH_CONFIDENCE
dss-d8092830-8a2c-4519-ad03-26a44fde91a7,2026-08-15,xidan,st-xidan-took1zj8n,confirmed,emp-73978c49-e12c-4f4f-9ca3-0a15f2de1977,M07,PROMOTABLE_HIGH_CONFIDENCE
dss-417e4e98-c7fe-4d82-a1bf-b48299722d03,2026-08-16,guanshe,st-guanshe-tqjk7n,confirmed,emp-53f97563-478f-423c-b269-87bdcaa39f1b,M08,PROMOTABLE_HIGH_CONFIDENCE
dss-7447dbf2-0ff3-47d1-8afb-fd1f1a6995ae,2026-08-16,tongying,st-tongying-kemu72mhh,confirmed,emp-83535521-87b8-4def-b171-16ede79eefe6,M04,PROMOTABLE_HIGH_CONFIDENCE
dss-fe11dc14-9d3e-4425-9727-e8dc8bf56e22,2026-08-16,tongying,st-tongying-gl2ptjsds,confirmed,emp-6ec93d71-6147-4e50-a5d0-0cf36fac95db,M02,PROMOTABLE_HIGH_CONFIDENCE
dss-07949c1b-8be8-4830-8b34-56c31ea45a85,2026-08-16,xidan,st-xidan-took1zj8n,confirmed,emp-73978c49-e12c-4f4f-9ca3-0a15f2de1977,M07,PROMOTABLE_HIGH_CONFIDENCE
dss-143963a4-c37d-480c-8816-5fc48387892a,2026-08-17,chaowai,st-chaowai-poyk0f,confirmed,emp-8c4ba159-0fcb-474d-bb3c-ecd21928e2a8,M06,PROMOTABLE_HIGH_CONFIDENCE
dss-479afff1-bc3b-4957-9f26-e9df3b67be3b,2026-08-17,guanshe,st-guanshe-tqjk7n,confirmed,emp-53f97563-478f-423c-b269-87bdcaa39f1b,M08,PROMOTABLE_HIGH_CONFIDENCE
dss-7640ec3c-fe1a-4674-bb0f-4ef1220314b7,2026-08-17,tongying,st-tongying-kemu72mhh,confirmed,emp-83535521-87b8-4def-b171-16ede79eefe6,M04,PROMOTABLE_HIGH_CONFIDENCE
dss-9ec19161-a864-4f97-b5f4-9db1a54936ea,2026-08-17,xidan,st-xidan-mtnp0ifip,confirmed,emp-40a8f7be-820b-4318-9cc5-1b3a2f40198d,M05,PROMOTABLE_HIGH_CONFIDENCE
dss-4c83cae7-8a20-430e-9fb1-97a14fab5a63,2026-08-18,guanshe,st-guanshe-tqjk7n,confirmed,emp-53f97563-478f-423c-b269-87bdcaa39f1b,M08,PROMOTABLE_HIGH_CONFIDENCE
dss-9f972bd3-848d-4f02-9761-90e17a1a6504,2026-08-18,tongying,st-tongying-kemu72mhh,confirmed,emp-83535521-87b8-4def-b171-16ede79eefe6,M04,PROMOTABLE_HIGH_CONFIDENCE
dss-3faa1026-3d43-493d-84fb-440a1ebd23e3,2026-08-18,xidan,st-xidan-took1zj8n,confirmed,emp-73978c49-e12c-4f4f-9ca3-0a15f2de1977,M07,PROMOTABLE_HIGH_CONFIDENCE
dss-467b5a73-f19f-4628-9ad1-dab307d9f98f,2026-08-19,chaowai,st-chaowai-poyk0f,confirmed,emp-8c4ba159-0fcb-474d-bb3c-ecd21928e2a8,M06,PROMOTABLE_HIGH_CONFIDENCE
dss-4d00cd91-65fe-422d-b9d8-2d4b53e4bdab,2026-08-19,guanshe,st-xidan-took1zj8n,confirmed,emp-73978c49-e12c-4f4f-9ca3-0a15f2de1977,M07,PROMOTABLE_HIGH_CONFIDENCE
dss-74d7951c-b20b-4b06-b05b-4e3fae7be625,2026-08-19,tongying,st-tongying-gl2ptjsds,confirmed,emp-6ec93d71-6147-4e50-a5d0-0cf36fac95db,M02,PROMOTABLE_HIGH_CONFIDENCE
dss-a4382d0d-ae65-4110-9a9d-ea9eed890f8e,2026-08-19,xidan,st-xidan-mtnp0ifip,confirmed,emp-40a8f7be-820b-4318-9cc5-1b3a2f40198d,M05,PROMOTABLE_HIGH_CONFIDENCE
dss-3d7864fe-a7fa-450a-a2a8-968b4010cf81,2026-08-20,guanshe,st-guanshe-tqjk7n,confirmed,emp-53f97563-478f-423c-b269-87bdcaa39f1b,M08,PROMOTABLE_HIGH_CONFIDENCE
dss-abc48ad7-c715-4f32-aa52-22adb1fdc147,2026-08-20,tongying,st-tongying-gl2ptjsds,confirmed,emp-6ec93d71-6147-4e50-a5d0-0cf36fac95db,M02,PROMOTABLE_HIGH_CONFIDENCE
dss-719244fd-3d16-4b4f-bf6b-22788e3c4c16,2026-08-20,xidan,st-xidan-took1zj8n,confirmed,emp-73978c49-e12c-4f4f-9ca3-0a15f2de1977,M07,PROMOTABLE_HIGH_CONFIDENCE
dss-4de954a9-e77c-44fc-97ba-7fc4d23fa3ff,2026-08-21,chaowai,st-chaowai-poyk0f,confirmed,emp-8c4ba159-0fcb-474d-bb3c-ecd21928e2a8,M06,PROMOTABLE_HIGH_CONFIDENCE
dss-9a14c51e-fe28-451c-99a2-b649561d310a,2026-08-21,guanshe,st-guanshe-tqjk7n,confirmed,emp-53f97563-478f-423c-b269-87bdcaa39f1b,M08,PROMOTABLE_HIGH_CONFIDENCE
dss-108da717-5a93-45f6-8ad9-bf5045fd830f,2026-08-21,tongying,st-tongying-gl2ptjsds,confirmed,emp-6ec93d71-6147-4e50-a5d0-0cf36fac95db,M02,PROMOTABLE_HIGH_CONFIDENCE
dss-695158d7-12b4-4df3-aac2-ac6b287701e0,2026-08-21,tongying,st-tongying-kemu72mhh,confirmed,emp-83535521-87b8-4def-b171-16ede79eefe6,M04,PROMOTABLE_HIGH_CONFIDENCE
dss-a8526418-8862-468a-90f7-317dce561bf8,2026-08-21,xidan,st-xidan-took1zj8n,confirmed,emp-73978c49-e12c-4f4f-9ca3-0a15f2de1977,M07,PROMOTABLE_HIGH_CONFIDENCE
dss-d2b89051-9fcf-4f74-bb2f-219b10b4a318,2026-08-22,guanshe,st-guanshe-tqjk7n,confirmed,emp-53f97563-478f-423c-b269-87bdcaa39f1b,M08,PROMOTABLE_HIGH_CONFIDENCE
dss-1de8cc7f-30c7-4389-b70e-31e57541715e,2026-08-22,tongying,st-tongying-kemu72mhh,confirmed,emp-83535521-87b8-4def-b171-16ede79eefe6,M04,PROMOTABLE_HIGH_CONFIDENCE
dss-3747828a-c42c-4cd0-95c1-1ca8cde84d7b,2026-08-22,tongying,st-tongying-gl2ptjsds,confirmed,emp-6ec93d71-6147-4e50-a5d0-0cf36fac95db,M02,PROMOTABLE_HIGH_CONFIDENCE
dss-cd0ffbb7-1d30-4295-9423-0bd5a82fd7a1,2026-08-22,xidan,st-xidan-took1zj8n,draft,emp-73978c49-e12c-4f4f-9ca3-0a15f2de1977,M07,PROMOTABLE_HIGH_CONFIDENCE
dss-ca0fe006-6847-423b-886c-e0ceb902120f,2026-08-23,guanshe,st-guanshe-tqjk7n,confirmed,emp-53f97563-478f-423c-b269-87bdcaa39f1b,M08,PROMOTABLE_HIGH_CONFIDENCE
dss-1e46a21c-d679-44e2-972b-2dd8f8ba0edf,2026-08-23,tongying,st-tongying-gl2ptjsds,confirmed,emp-6ec93d71-6147-4e50-a5d0-0cf36fac95db,M02,PROMOTABLE_HIGH_CONFIDENCE
dss-79605e17-4dae-4293-8078-801492a1df79,2026-08-23,tongying,st-tongying-kemu72mhh,confirmed,emp-83535521-87b8-4def-b171-16ede79eefe6,M04,PROMOTABLE_HIGH_CONFIDENCE
dss-fa1254fa-b887-4ddf-8a97-fcc3bea16544,2026-08-23,xidan,st-xidan-took1zj8n,confirmed,emp-73978c49-e12c-4f4f-9ca3-0a15f2de1977,M07,PROMOTABLE_HIGH_CONFIDENCE
dss-3551692f-606d-4268-9f8a-0310a3d2c2f8,2026-08-24,chaowai,st-chaowai-ui4huvl5v,confirmed,emp-5b890d14-35ca-4b4b-a8a9-90eb69403687,M09,PROMOTABLE_HIGH_CONFIDENCE
dss-3204168a-d980-47ee-9f5c-d56ade497e5b,2026-08-24,guanshe,st-guanshe-tqjk7n,draft,emp-53f97563-478f-423c-b269-87bdcaa39f1b,M08,PROMOTABLE_HIGH_CONFIDENCE
dss-ec4f3248-98cf-4ef8-87f9-c8543fbb0d31,2026-08-24,tongying,st-tongying-gl2ptjsds,confirmed,emp-6ec93d71-6147-4e50-a5d0-0cf36fac95db,M02,PROMOTABLE_HIGH_CONFIDENCE
dss-f095a59f-f9dc-4bca-a0b1-1f8eb31dd905,2026-08-24,xidan,st-xidan-took1zj8n,draft,emp-73978c49-e12c-4f4f-9ca3-0a15f2de1977,M07,PROMOTABLE_HIGH_CONFIDENCE
dss-c630fc42-29c9-4556-86ba-ab6651ad1bed,2026-08-25,chaowai,st-chaowai-ui4huvl5v,confirmed,emp-5b890d14-35ca-4b4b-a8a9-90eb69403687,M09,PROMOTABLE_HIGH_CONFIDENCE
dss-539891e9-4a57-429e-bcb3-edc50ac77263,2026-08-25,guanshe,st-chaowai-poyk0f,confirmed,emp-8c4ba159-0fcb-474d-bb3c-ecd21928e2a8,M06,PROMOTABLE_HIGH_CONFIDENCE
dss-e517fbbe-92d0-4193-bc72-ba9b25fd2556,2026-08-25,tongying,st-tongying-gl2ptjsds,confirmed,emp-6ec93d71-6147-4e50-a5d0-0cf36fac95db,M02,PROMOTABLE_HIGH_CONFIDENCE
dss-4995f364-c2d1-4eb8-bb7f-5fab33d6673f,2026-08-25,xidan,st-xidan-mtnp0ifip,confirmed,emp-40a8f7be-820b-4318-9cc5-1b3a2f40198d,M05,PROMOTABLE_HIGH_CONFIDENCE
dss-bc99983e-a067-45e8-9f4e-dec8a1acb52e,2026-08-26,chaowai,st-chaowai-gkyn0wn0w,confirmed,emp-58c68115-f0f2-4731-9951-2050d2e7229f,M01,PROMOTABLE_HIGH_CONFIDENCE
dss-d7a881c7-f43c-4c22-904c-8e22c5e54bd5,2026-08-26,guanshe,st-guanshe-tqjk7n,confirmed,emp-53f97563-478f-423c-b269-87bdcaa39f1b,M08,PROMOTABLE_HIGH_CONFIDENCE
dss-eb5f2d9f-16a4-4c8b-a10c-f838496e4a33,2026-08-26,tongying,st-tongying-kemu72mhh,confirmed,emp-83535521-87b8-4def-b171-16ede79eefe6,M04,PROMOTABLE_HIGH_CONFIDENCE
dss-dad9e1c3-6932-4bce-b275-988cf54d8c80,2026-08-26,xidan,st-xidan-took1zj8n,confirmed,emp-73978c49-e12c-4f4f-9ca3-0a15f2de1977,M07,PROMOTABLE_HIGH_CONFIDENCE
